GENERO,DESCRICAO
ACESSORIO ELETRONICO,CONEC RJ45 MACHO CAT5E (FURUKAWA)
LACTICINIO,NESTLE GREGO LIQ LIGHT MARJ 48X170G BR CX
REFERENCIA,KEFLEX 1G DRG8+
PRODUTO HOSPITALAR,SORO GLICOSADO 5% 500ML
SIMILAR,PRESSAT 5MG 30 COMP 101 CX
CORPO,SAB DOVE KAR E BAUNILHA 90G 102
BISCOITO,BISCOITO DISTRACAO CHOCOLATE 360 GRS PCT.C/1X360 GRS 7896003702606 PCT
CORPO,PS SUNDOWN F-60 120ML .
CARNE SUINA,COSTELA NA BRASA PERDIGAO KG CX 10
CARNE BOVINA,MAMINHA DA ALCATRA MARFRIG KG
ENERGETICO,RED BULL ENERGY DRINK 250G
PREPARACAO DE CARNE,LINGUICA CALABRESA FINA KG
CABELO,GOLD CCP 280G REP.INTEN
SUCO,B-REF.MAGRO DIET UVA-DP DP.C/15X8G DP
PRODUTO DE LIMPEZA,GLADE NEUTRA FRESH 360ML
BISCOITO,BISCOITO CREAM CRAKER ESTRELA 20X400G CX
REFERENCIA,BEPANTOL DERMA REG LAB 7,5ML BAYE CX
CHINELO,SAND CASUAL BCO/BCO 37/38 PAR
CARNE BOVINA,MAMINHA KG
SIMILAR,METOCLOPRAMIDA-PLABEL C/20 CPR (BELFA)
TEMPERO,TEMPERO CONDIMENT REGINA 12X300ML CX
TIPO DE FERRAMENTA,CHAVE BIELA 11MM TRAMONTINA
LACTICINIO,ACTIVIA AVEIA LEITE FERM P 400GX12 CX
GENERICO,GEN ISOCONAZOL CRM 20G 103 BG
REFRIGERANTE,GUARANA ANTARCTICA 350ML
MAQUINA E EQUIPAMENTO,CILINDRO CAPACIDADE 900 KGS PC
UTENSILIO PARA O LAR,PANELA N 24 RETA COM ALCA DE LUXO
SIMILAR,ESC 20MG 30 COMP-C1 101 CX
BOMBONIERE,CHICLE TRIDENT INTENSE 21X5UN CT
PRODUTO DE LIMPEZA,LIMP DESENGT VEJA RF 500ML 1
PRODUTO FARMACEUTICO,LENCO PAPEL KLEENEX BOX 100U 103 PC
GENERICO,GEN FLUOXETINA 20MG 28 CAPS- CX
CERVEJA,CERV ITAIPAVA KS 600ML
PARTE E PECA PARA VEICULO,215/75R17.5 FORMULA DRIVER PN / IP: 2313300
CABELO,CR P/PENTEAR SEDA 1X300ML HIDRATACAO ANTI NOS
REFERENCIA,APRESOLINA 25MG 20 DRG 103 CX
PRODUTO DE LIMPEZA,SABAO PDC GUARANI AZUL CXA 1 X 10 5X200G
GENERICO,PANTOPRAZOL 20MG CPR 1X28 MDL-GENERICO CX
BISCOITO,BOLACHA ACEBOLADA 250G GIPAN
PARTE E PECA PARA VEICULO,AMORTECEDOR TRAS CONV CORSA 94/02 EXC P-UP - B-47061 - 0,00% PC
SUCO,SUCO PRONTO MARATA 200ML MANGA 27X200ML CX
PRODUTO DE HIGIENE,ESC DENTAL ORAL B STAGES 4 101
SIMILAR,PENETRO INALANTE 45ML DAUD FR
LACTICINIO,ACHOC.PO NESCAU PCT 3725 UND 1 X 1 1KG
REFERENCIA,ATENSINA 100MG 30 COMP 102 CX
PRODUTO DE HIGIENE,PAPEL HIG FLORAL MACA VERDE 4UND
APERITIVO,COQUETEL COMPOSTO SAO BRAZ 900ML
SIMILAR,INICOX DP 15MG CPD/5 CX
ARROZ,ARROZ CHINES BRANCO 30X1 FA
MATERIAL PARA ESCRITORIO E ESCOLAR,CAD KAJOMA C.D SURF LIFE 15X1 300 FLS CX/20 R3640
ARROZ,ARROZ URBANO PARB 1KG FD10
OUTROS MEDICAMENTOS,AGUA INGLESA CINCHONA 450ML (LAPON)
CORPO,SAB JOHNSON SUAVIZE(OLEO AMEND)12X90G DZ
GENERICO,GEN ORLISTATE 120MG 42 CAPS 102 CX
MEDICAMENTO NAO CLASSIFICADO,REDOXON 2G CPR L/LIM 1X10-OUTROS CX
MAQUIAGEM,PO COMP VULT 03
MATERIAL PARA ESCRITORIO E ESCOLAR,COMPACTOR CANETA 0.7 VM C/50 CX
CABELO,ORIGEM KIT NOW COLOR ALIS PRETO*
MATERIAL ELETRICO,FITA ISOLANTE 20M 3M
OVO DE AVE,OVO GRD BCO A C/06 P QUALITA CX. C/180
SIMILAR,MUPIROCINA (BACTRONEO) 20MG POM 15G (NEO Q) CX
PERFUMARIA,LEITE DE COLONIA 100ML
VERDURA E LEGUME,BATATA FRITA CANTU 4 X 2,5KG 9MM KG
REFERENCIA,ALLEGRA 180MG 10 COMP 102 CX
BOMBONIERE,CHEETOS BOLA 48G
SIMILAR,PHARMATON KIDDI 200ML 101 FR
TIPO DE GRAO,GRAO DE BICO YOKY 500GR 1
CORPO,GEL MAGRICELA MASSAGEADOR 250 G
MACARRAO,NISSIN MIOJO CARNE 80G
TIPO DE PRODUTO,ACETILENO GAS 7KG PAT OUTROS . M3
TIPO DE MOVEIS,COL DIAMOND DN20 KG/M3 17 CM 088X188 - SIMPLES
OUTROS MEDICAMENTOS,POLIPLUS NECTAR FLORAL SPR 3 102
REFERENCIA,COMPLEXO B 100CPR
MAQUIAGEM,PO COMP MAYBELLINE PURE ARENANAT13G
REFERENCIA,PROFENID PROTECT 200+20MG 10 103 CX
REFERENCIA,GALVUS MET 50/500MG 56CPR NOVA CX
PRODUTO FARMACEUTICO,HALLEY TALCO INF AZUL 200G*
SIMILAR,MAGNESIA BISURADA 4BL 10PST PFIZ CX
PRODUTO FARMACEUTICO,FIO DENTAL COLGATE 50M 106
MATERIAL PARA CONSTRUCAO,TINTA TECIDO FOSCA 37ML CX/12 ROSA CX
MATERIAL PARA ESCRITORIO E ESCOLAR,LAPISEIRA 0.7 SHIMMERS L14P12 C/14 BIC CT
CARNE BOVINA,COXAO MOLE BOVINO T KG
SIMILAR,BENEGRIP 25 X 6 COMP - OTC 104 CX
CORPO,LOCAO HIDR GIOVANNA BABY INF GIBY 200ML
UTENSILIO PARA O LAR,JARRA TERMICA 2L VERMELHO
CORPO,SAB GLIC BEBE LAVANDA 90G (CASA ) CX
MACARRAO,MASSA LASAGNA PETYBON 500G
OUTROS MEDICAMENTOS,MEL COMP DAUF PROP MENTA SACHE 100G
REFERENCIA,ZYLORIC 300MG 30 COMP 103 CX
CORPO,TENYS PE BARUEL JS CANFORADO 101 FR
VESTUARIO FEMININO,CALCA JVM MARMORIZADA, JAM, 42 PEC
SIMILAR,DIAD (LEVONORGESTREL) 0,75MG 2COMP
MATERIAL PARA ESCRITORIO E ESCOLAR,CAD S.DOMING. C.D. 15X1 SISSI 2X300FL
REFRIGERANTE,REFRIG ANTARCTICA GUARANA DIET LTA 350ML CX 12
MATERIAL PARA CONSTRUCAO,LUVA SR PVC 25X1\2 KRONA PC
FARINHA E AMIDO,FARINHA DAGUA PRECIOSO 1KG FD 30
REFERENCIA,LOTAR 550MG 30 CAPS 106 CX
REFERENCIA,BENICAR HCT 40MG12 5MG 30 C 105 CX
PRODUTO DE HIGIENE,AP PRESTOBARBA 3 ICE C2 NEW 102
FRUTA,ABACAXI KGR
PRODUTO DE HIGIENE,CRM DENTAL CLOSE-UP LIQUI FR 103 BG
CORPO,FISIOGEL AI LOCAO 120ML FR
REFRIGERANTE,COCA COLA 1,5L
UTENSILIO DE LIMPEZA,ESPONJA TININDO SALVA UNHAS
REFRIGERANTE,REFRIG.INDAIA LIMAO 250ML PET
CABELO,COND TIO NACHO ANTIQUEDA CLA FR
CERVEJA,*CERVEJA SKOL 600ML
PRODUTO DE LIMPEZA,DETERG. YPE COCO 24 X 500ML CX
GENERICO,RISPERIDONA 2MG 20CPR C1(G) BIOS CX
MATERIAL PARA CONSTRUCAO,ADAPTADOR SOLD CURTO 32MM X 1 PC
SIMILAR,NOVOCILIN 875MG 14 COMP-AT 105 CX
SIMILAR,NEUTROFER POLI SUSP 30ML EMS CX
GENERICO,GEN LORATADINA 10MG 12 COMP 102 CX
SIMILAR,EPOCLER 60 FLAC ABA 10ML - O 103 CX
GENERICO,GEN ESPIRONOLACTONA 50MG 30 101 CX
REFERENCIA,BENICAR 40MG 30 COMP 103 CX
LIVRO,BURITI POR 1 ED3
ACESSORIO PARA BELEZA,ESC CAB M BONI MIRNA PROF MASC 7773
PRODUTO DE LIMPEZA,LUSTRA MOVEIS 200ML FLORAL WORKER
PRODUTO FARMACEUTICO,TIRA LEITE LILLO 103
SIMILAR,CETROLAC COL 5ML GENO FR
CARNE BOVINA,PICANHA BOV RESF MATURATTA KG
SIMILAR,IBUPROFENO (BUPROVIL) 300MG 20X10 CPRS (MULTI) CX
ALIMENTO CONDIMENTADO,CATCHUP TAMBAU SACHET 1X192X7G
MATERIAL PARA CONSTRUCAO,TINTA SPRAY 400ML PRETO FOSCO
CABELO,LEITE PENTEAR OPUS SALON 250 102 FR
REFRIGERANTE,REFRIG FANTA 2L LARANJA UND
LEITE,LEITE PO INTEGRAL ITAMBE PCT 200G
MATERIAL PARA CONSTRUCAO,AR REC BWG18 1,25MM RL35KG KG
REFERENCIA,COLTRAX 4MG 20 COMP 101 CX
SIMILAR,NEOVLAR C 21 DRGS P
SIMILAR,TROK CRM 30G 102 BG
REFERENCIA,BISOLVON XPE ADU 120ML 103 FR
CORPO,KALIMA SAB 150G 101
SIMILAR,FORFIG 100MG 30 COMP 101 CX
REFRIGERANTE,REFRIG FANTA 2L LARANJA FD 6
PARTE E PECA PARA VEICULO,1109CK FILTRO OLEO AUTOMOTIVO
MATERIAL ELETRICO,LAMP.V.METALICO TUB.HPI-T PHILIPS 400W
REFERENCIA,PROPECIA 1MG CPD30 CX
LIVRO,LIVRO EF 9O ANO - ESPANHOL
REFERENCIA,TROPINAL 20 COMP 103 CX
MATERIAL PARA CONSTRUCAO,LUVA SOLD PVC 25MM KRONA PC
UNHAS,ALICATE MUNDIAL CUTIC PROF 777
FEIJAO,FEIJAO CARIOCA 1KG TIPO1 KG
PECA INTIMA,SUTIA MEIA-TACA UNIVERSAL-TACA B PRISMA 42B.EAN :7899726930455
REFERENCIA,DIFFERIN 0 3% GEL 30G 103 BG
SUCO,REF PROMIX 12X140G CAJU CX
PRODUTO FARMACEUTICO,NUTREN SENIOR PO 12X370G BR CX
CABELO,BC TUTANO 500G BIO EXTRATUS
SIMILAR,ACHEFLAN CRM 60G 105 BG
PRODUTO DE LIMPEZA,SABAO EM PO OMO 500G
TIPO DE FERRAMENTA,CHAVE PHIL ACO CARB 3/16X6 CB AM TRAMONT PC
MATERIAL PARA CONSTRUCAO,ADESIVO PVC POLYTUBES 17G PULVITEC
PRODUTO FARMACEUTICO,PRESERV JONTEX MACA VERDE C/3
TIPO DE GRAO,SEMENTE CHIA 100G
CERVEJA,SKOL GFA VD 1L 2,99
GENERICO,GEN PANTOPRAZOL 20MG 42 COMP 104 CX
REFERENCIA,PROFENID GTS 20ML
CORPO,SAB LIQ DOVE 250ML NUTRI PROFUNDA 1
MATERIAL ELETRICO,FITA ISOLANTE (G) 19 X 20M HIGHLAND RL
ACESSORIO PARA BELEZA,ESC CAB M BONI PALOMA 7776B
PRODUTO DE HIGIENE,TRA LA LA BABY GD 70G S/FLUOR
LEITE,LEITE EM PO NINHO 400G
TIPO DE FERRAMENTA,BROCA ACO RAP 3/32 MET IRWIN PC
REFERENCIA,FENERGAN CRM 30G 108 TB
PARTE E PECA PARA VEICULO,BUCHA BAND DIANT PALIO/SIENA/STRADA/DOBLO 04/ - 011.1038 - 0,00% PC
FERRAGEM,FERROLHO P/ CADEADO FG UNICO 1PC
ADOCANTE,ADOCANTE LINEA 25ML-HD 104 FR
REFERENCIA,CONCERTA 54MG 30 COMP-A3 101 CX
ALIMENTO PRONTO,SALGADO FOLHEADO CARNE DO SOL UN
GENERICO,*PARACETAMOL BEBE 100MG/ML C/15ML CX
CABELO,SH BIO EXTRATUS 350ML SHITAKE PLUS
MACARRAO,MACARRAO CUP NOODLES FRANGO 101
CABELO,ALYNE CO 350ML HIDRATACA
CABELO,CP ALYNE HYDRA LISS 300G
ELETROPORTATEIS,ASP-SOPRADOR MAKITA UB1101-220V PC
TIPO DE PESTICIDA,KUMULUS DF - AG 10 X1 KG
REFRIGERANTE,REFRIG. PITCHULA FREVO LIMAO 12 X 250ML FD
LACTICINIO,QUEIJO GOUDA CRISTINA KG
GENERICO,GEN LORAZEPAM 2MG 20 COMP-B1 102 CX
MATERIAL PARA CONSTRUCAO,AMANCO - JOELHO 90 ESG SN DN100-10392
TENIS,TENIS-01818-23 PAR
PRODUTO FARMACEUTICO,PROTETOR DIARIO CAREFREE ORI 101
PRODUTO FARMACEUTICO,PROTETOR DIARIO LADY SEM ABAS 15UND (COTTONBABY)
CARNE BOVINA,FIGADO BOVINO - 1 PECAS KG
PRODUTO DE LIMPEZA,LIMPEZA PESADA VEJA LV1LPG900ML ORIG
SIMILAR,BRASART HCT 16025MG 30 COMP 105 CX
REFRIGERANTE,COCA COLA MINI PET 250ML
TENIS,TENIS-01616-18 PAR
REFRIGERANTE,FANTA LARANJA PET 2LT
PREPARACAO DE FRUTA,LEITE DE COCO LIGHT DUCOCO 12X500ML CX
SIMILAR,ASTRO 900MG SUSP 12ML+DIL* EURO CT
TIPO DE PRODUTO,HIDROTINTAS HIDRORAZ 1LT
LACTICINIO,QUEIJO PRATO PECA ITACOLOMY KG
REFERENCIA,DALSY 600MG CPD/10
MATERIAL ELETRICO,PILHA SONY ALC AAA AM4B2 02 105
CABELO,TINT KOLESTON VM INT 466
UTENSILIO PARA O LAR,KIT POTE RET.GRANDE 2PC 1,500ML
ACESSORIO DE VESTUARIO,MEIA SOQUETE-00173-PP PAR
SIMILAR,DEXCLOF+BETAM(CELETIL) XPE 120ML (GEOLA)
BISCOITO,BISCOITO CREAM CRACKER ESTRELA KG
VESTUARIO FEMININO,CAMISETE EM SENSITIVE C/RENDA MADAME PRETO M PC
MATERIAL PARA ESCRITORIO E ESCOLAR,PLASTICO ADESIVO PLASTIFIX 45X25M CRISTA
DOCE E SOBREMESA,DOCE DE CAJ� CRISTALIZADO 300G C/20 PUREZA CX
PRODUTO DE HIGIENE,PAPEL HIG.PERSONAL FSAQ 30M PCT 1 X 1 8ROLO
FERRAGEM,FECHADURA 2V 930/2 CX INDIV SILVANA (E.120)
MATERIAL ELETRICO,FITA ISOLANTE 19X05
REFERENCIA,FLAGYL 400MG 24 COMP-AT 104 CX
PECA INTIMA,SUTIA PUSH-UP NUDE RENDA BRANCO 46.EAN :7898540752571
CABELO,CRM PENTEAR DOVE OLEO NUTRIC 107
LACTICINIO,12.1. SORV NATA GOIABA 5L
GENERICO,GEN LEVOFLOXACINO 500MG 7CPR (ZYDUS)
SIMILAR,PERMUT CRM 10G-AT 105 BG
MATERIAL PARA CONSTRUCAO,ENGATE PLASTICO FLEXIVEL 50CMX1/2 AMANCO
PECA INTIMA,BERMUDA MODELADORA LAYERS MEL M.EAN :7899558888825
SIMILAR,FLEBON 50MG 30COMP 105 CX
PRODUTO FARMACEUTICO,FRESUBIN LIPID DRINK CAPPUCCINO 200 ML
ALIMENTO CONDIMENTADO,ALIM INF NESTLE CAR LEG PEDACO 170G VD
MATERIAL ELETRICO,ARAME FARP NELORE 500M
GENERICO,GEN BISOPROLOL 2 5MG 30 COMP 101 CX
PRODUTO FARMACEUTICO,FRD T.MONICA MG VE.FACIL MD/40
PRODUTO DESCARTAVEL,SACO CROMUS TRANSP. SORT. 30X44 C/50UN
CARNE BOVINA,RF.BOV.CONTRA F.FRIBOI PORC.RESF. GR 1 X 1 1G KG
PRODUTO DE LIMPEZA,MULTIUSO TALIMPO MARINE 5 LTS GL
INFORMATICA,CARTUCHO HP 74 CB335WB PRETO CD
PREPARACAO DE CARNE,LANCHE FRANGO REGINA KG
CERVEJA,0000002020 - KAISER RADLER SHOT 250ML CX06
SIMILAR,OSTEOFORM 70MG 4 COMP 107 CX
CABELO,MURIEL OLEO MINERAL V.CAPILI QUERATINA 80 ML
OUTROS MEDICAMENTOS,SENAN CAPS/30
ELETROPORTATEIS,VENTILADOR BOREAL SECURITY 30CM MALLORY
MEL,MEL WENZEL NATURAL PET 295G
CABELO,TINT KIT IMEDIA LOREAL 7.0 LR NAT
TIPO DE GRAO,ERVILHA AO VAPOR FUGINI LT 200G
CEREAL,GRANOLA C/ FRUTAS DUBOM 200GR
REFERENCIA,JANUVIA 25MG 28 COMP 103 CX
PECA INTIMA,CALCINHA ALGODAO CAMURCA.EAN :7891306073699
MATERIAL PARA CONSTRUCAO,FITA 3M P/EMPACOT.SCOTCH 45X50 REF 3777
PRODUTO DE HIGIENE,CR DENTAL SORRISO AZUL 180GR DZ
FARINHA E AMIDO,FARINHA DE LINHACA VITAO 200G
SIMILAR,ZINA 5MG C/10CPRS REV
LIVRO,UMA NOITE SEM IGUAL
PRODUTO PARA ANIMAL,XANDOG INSETICIDA 240ML
REFERENCIA,DRAMIN 50MG 10 CAPS GEL 103 FR
LACTICINIO,ACTIVIA 0 MORANGO 400 LTE FERM X4
UTENSILIO DE LIMPEZA,LIMPAMANIA RODO BORBOLETA 40CM C/CABO*
GENERICO,GEN PREDNISONA 5MG 20 COMP 103 CX
REFERENCIA,COLTRAX 4MG CPD/20 CX
ELETRODOMESTICO,REFRIG. BRASTEMP 352LTS F.FREE BRM39EB BRANCO 220V PC01
BISCOITO,BISC SALGADO TUCS PIZZA 30UND
MATERIAL PARA ESCRITORIO E ESCOLAR,CANETA COMPACTOR 07 B 1.2MM AZ C/50
FRUTA,MANGA KG COITE KG
LEITE,LEITE PO ITAMBE 400G PCT INTEGRAL
MATERIAL PARA CONSTRUCAO,MASSA PVA - HIDRACOR BD
PECA INTIMA,CALCINHA FIO DENTAL BRANCO M.EAN :7899726944582
TIPO DE FERRAMENTA,COLHER PED ACO 09 OVAL 2048 PACETTA PC
MATERIAL PARA ESCRITORIO E ESCOLAR,CANETA BIC 4 CORES
PRODUTO DE LIMPEZA,AGUA SANITARIA 5LTS
PRODUTO FARMACEUTICO,FDA POM POM PROTEK BABY JB P C/34 1
PRODUTO FARMACEUTICO,SUPRAVIT 30 CAPS 105 FR
REFERENCIA,TRANSAMIN 12 COMP 101 CX
FRUTA,DAMASCO KG
MATERIAL PARA ESCRITORIO E ESCOLAR,BORRACHA MERCUR CLEAN VERDE 10347
OUTROS MEDICAMENTOS,SANATIVO SOL TOP 30ML LAPE FR
MACARRAO,NISSIN LAMEN SUAVE CARNE
MEDICAMENTO NAO CLASSIFICADO,NOVOFER 45 DRG 103 CX
CERVEJA,BOHEMIA LONG NECK 24 X 355ML CX
SIMILAR,STER COL 5ML 102 FR
PREPARACAO DE CARNE,SALSICHA VIENA ANGLO 180G UN
ELETRONICO,PLACA DE CIRCUITO IMPRESSO MONTADA
REFRIGERANTE,REFR GUA ANTARCTICA 6 X 2L PC
PREPARACAO DE CARNE,CASQUINHA SALMAO DAMM 330G
ALIMENTO EM CONSERVA,ERVILHA E MILHO VERDE OLE VD 12*200G CX
PRODUTO DE LIMPEZA,SABAO EM PO ALA AZUL 500G
REFERENCIA,POLARAMINE 2MG 20 COMP - OTX 102 CX
MATERIAL PARA CONSTRUCAO,ARIES COLUNA P/LAVATORIO BCA
LACTICINIO,LEITE PO NINHO 1+400G CD
OUTROS MEDICAMENTOS,SANATIVO SOL 120ML FRC
PRODUTO DE LIMPEZA,SABAO COCO POLAR 5X100G CX 20
BOMBONIERE,BALA FREEGELLS 584G .MORANGO PC
LIVRO,CAVALEIRO PRESO NA ARMADURA, O
MATERIAL PARA ESCRITORIO E ESCOLAR,POST IT 76X102 C/100FLS AMARELO BL
ACESSORIO ELETRONICO,OUTRA FACE, A
CARNE DE AVE ,FRANGO FACIL COXAS SADIA 800G CX 8
LEITE,LEITE PO ITAMBE DESN. PCT 10X200GR
ALIMENTO CONDIMENTADO,NESTLE BABY SOPINHA GALLEG
PARTE E PECA PARA VEICULO,SELIM 507 BICOLOR PRETO/AZUL
TIPO DE PLANTA,FOLHA DE BOLDO ISHASHI 5G
MATERIAL PARA ESCRITORIO E ESCOLAR,APONTADOR C/ DEPOSITO GLITZ FABER-CASTELL
MATERIAL PARA CONSTRUCAO,COLA COLABRAS 200G
CABELO,SH TURMA XUXINHA CACHEADOS 120 ML CX/12 R2248
PRODUTO PARA FESTA,GUIRLANDA 18X18CM 7015480
CORPO,DESCOLOR BIOCOLOR PO 20G NOVO
SIMILAR,PURAVIT ADE GTS 20ML
PRODUTO PARA CONSERVACAO,CERA INGLESA PASTA 400G INCOLOR
ROSTO,ASEPXIA SAB ADSTRINGENTE HER 101
FRUTA,UVA PASSA PRETA KG KG
MATERIAL PARA ESCRITORIO E ESCOLAR,CANETA COMPACTOR 07B 1.2MM AZUL C/50UN
CORPO,ST.PROTEX 90G VITAMINA E
LACTICINIO,PT 02L MARENI NAPOLITANO PC C/04UN PE
LACTICINIO,MARG PURO SABOR 250GR 1
SANDALIA,PAPETE JOLAN AD. INDIVIDUAL PAR
ACESSORIO PARA BELEZA,PINCEL P/ SOMBRA E LABIOS (15)
CABELO,MASC. OIL COMPLEX LA VIE 500ML
DOCE E SOBREMESA,TORTA MARACUJA VO DEDE KG
BOMBONIERE,CHOCOLATE NUCITA BRIGADEIRO CXT 48X10G
PRODUTO FARMACEUTICO,TALCO AMORAVEL BLUE BABY 180G FR
MATERIAL PARA CONSTRUCAO,JOELHO SOLDAVEL 90 DE 32MM
GENERICO,GEN BETAMETASONA CRM 30G (DI 102 BG
UNHAS,ESMALTE RISQUE ENERGIA CRM 8ML
CORPO,GRANADO BEBE OLEO 100ML TRADIC
REFERENCIA,PSOREX POM 30G 102 BG
SIMILAR,KALYAMON KIDS 250ML VD
CHINELO,SAND COLOR MIX AREIA/DOUR/CLARO 33/34 PAR
PRODUTO DESCARTAVEL,PAPEL ALUMINIO TERMICA 30X7,5
REFRIGERANTE,REFRIG.SAO GERALDO 1L CAJU
PRODUTO DE LIMPEZA,AMAC FOFO 2000ML TRADICIONAL - AZUL
BISCOITO,BISC ROSQ CHOC FORT 350GR 1
GENERICO,PREDNISONA 5MG CPR 1X20 EMS-GENERICO CX
CABELO,COND TIO NACHO ANTIQUEDA CLA 101 FR
REFERENCIA,ZESTRIL 20MG CPD C30 D3 CX
SIMILAR,SIILIF 100MG CPD/30
SIMILAR,EXIMIA FORTALIZE 30CPR FARM CX
ESPECIARIA,AMENDOIM COND BEERNUTS OETKER 100G 1
TIPO DE FERRAMENTA,CHAVE COMBINADA 11
DOCE E SOBREMESA,SACO GOIABA CRISTAL 24X400G CX
CORPO,ACTINE PROT SOLAR HIDRATANTE FR
PRODUTO DESCARTAVEL,COPO 300ML BCO SUPER PREMIUM CX C/20 CTO ALTACOPPO
MATERIAL PARA CONSTRUCAO,JUNCAO SIMPLES DE 100X50 TIGRE
COMBUSTIVEL,COMB.GASOLINA COMUM L
CABELO,SH ALYNE 5000ML QUERATINA
GENERICO,GEN ALPRAZOLAM 1MG 30 COMP-B 102 CX
MATERIAL PARA CONSTRUCAO,TUBO 40MM 6M ESGOTO PLASTUBOS
CERVEJA,BRAHMA CHOPP GFA VD 1L COM TTC
REFERENCIA,PYRIDIUM 100MG 25 DRG 101 CX
AGUA,AGUA MIN.INDAIA 10.000ML MINI POTE
ARROZ,ARROZ FAZENDA BCO 1KG KG
FARINHA E AMIDO,FARINHA TRIGO FINNA C/FERMENTO FDO 1 X 10 1KG
CORPO,SAB DAUF FARMA ANTISEPTICO 90G
REFRIGERANTE,REFRIG.SCHIN 2L LIMAO
PRODUTO PARA ANIMAL,CYPERPOUR 15% 20ML (24)
REFERENCIA,BONVIVA 150MG CPD/1
DOCE E SOBREMESA,PE DE MOLEQUE MINDY PCT 850GRS C-50UND
MAQUIAGEM,CORRETIVO FACIAL VULT COR 5
UTENSILIO PARA O LAR,MESA DE PL�STICO
LEITE,LEITE LV DESN BETANIA 1LT CX12
PRODUTO DE HIGIENE,GEL DENT.SORRISO XTREME WHITE 90G MENTA
ACESSORIO PARA BELEZA,(K:10072909)APLICADOR P/ MASCARAS (PCTE.C/15)
PRODUTO DE CONFEITARIA,GELEIA BRILHO NEUTRA 4KG MAURI
SUCO,SUCO DAFRUTA CONCENT.CAJU PET FRC 1 X 1 500ML
CORPO,JJ SAB. LAVANDA E ALECRIM/RELAXE
CABELO,TINT KOLESTON AMORA 5546 NV
PRODUTO DE HIGIENE,KIT VIAGEM COLGATE 101 KT
SIMILAR,VITACID PLUS CR 15GR C2 THER CX
MATERIAL ELETRICO,LAMPADA TASCHIBRA 3U 25W 220V 6400K 11030154
SIMILAR,CETOMICOSS 200MG 10CMP
UTENSILIO PARA O LAR,FACA COZINHA PEIXEIRA CB MAD 6 - TRAMONTINA
SIMILAR,BETRICORT CREME 30G (GEOLA)
SIMILAR,OYSCO 500MG +D CALCIUM VITAGCPD120 CX
SIMILAR,SINVASTATINA GLOBO 10MG 30COMP CX
CORPO,SB LQ DOVE BEAUT CREAM 250ML .
LEITE,NESTOGENO 2 800G LT
PREPARACAO DE CARNE,JAMON SERRANO C OSSO KG
FERRAGEM,CADEADO 1,00MX06MM ESPIRAL AZUL
ALIMENTO CONDIMENTADO,MOLHO LIMAO KENKO
ALIMENTO CONDIMENTADO,MOLHO TOM.QUERO TRAD.POUCH UND 1 X 1 340G
FEIJAO,FEIJAO KICALDO 1KG CARIOCA
PRODUTO PARA CONSERVACAO,CERA INGLEZA PASTA VERMELHA 1X400G LTA
MAQUIAGEM,SOMBRA MINERAL CINNABAR
AGUA,AGUA MIN.NATURAGUA S/GAS 1.5L
LACTICINIO,CREME LEITE 200G CCGL
PRODUTO FARMACEUTICO,CONFIRME EM TIRA 1 UNID
AGUA,AGUA MINERAL NATURAGUA 1,5L
REFRIGERANTE,REFRI SUKITA LT 350ML LARANJA
MATERIAL PARA CONSTRUCAO,TINTA SPRAY BRANCO BRILHANTE 400ML CHEMICOLOR
GENERICO,GEN LANSOPRAZOL 15MG 14 CAPS 102 CX
MAQUIAGEM,MASC P/ CILIOS MAYB COLOSSAL PROVA DAGUA(E)
GENERICO,GEN CINARIZINA 75MG 30 COMP 105 CX
PRODUTO DE HIGIENE,ESC DENTAL BITUFO COCORICO 2 101
SIMILAR,CETOC+DIP.BETA+SULF.NEOM PDA 30GR GEN (GEOLAB)
PERFUMARIA,DEO COL.GIOVANNA BABY 50ML CHERRY
PAO,P�O CARIOQUINHA
PRODUTO FARMACEUTICO,HASTES FLEX.ENLACE 24X150 UNID EE
LEITE,LEITE PO NINHO INST. 24X400GR
MATERIAL PARA CONSTRUCAO,VALVULA INOX 3.1/2 PINO CROMADO CX 30
CARNE SUINA,PE SALGADO SUINO SAUDALI KG
UTENSILIO PARA O LAR,POTENAY INJ.10ML (100)
SUCO,NECTAR DAFRUTA LARAN TP 200ML 1
MATERIAL PARA CONSTRUCAO,CIMENTO CPV ARI RS NBR 5733, NBR5737 - 40 KG - CF25232910 SC
SIMILAR,MICROPIL 0,075+0,030MG CX C/21 CMP
SIMILAR,ADACNE 1MG GEL 30G 105 BG
VINHO,VINHO CARMEN CLASSIC CARMENERE 375ML
CABELO,TINT LUMINOUS CR+OX* CEREJA 6.46
BOMBONIERE,PASTILHA TIC TAC LARANJA 16G DP 14
CHA,CAPSULA TRES CHA DE HORTELA 10X2,5G CTC
SIMILAR,STREPSILS 8 75MG C 4 PAST 107 CX
PECA INTIMA,BIQUINI EM RENDA BRANCO M PC
MATERIAL ELETRICO,INT 1SIMP 10A 4X2 680100 ZEFFIA
SIMILAR,AFOPIC 5MG 20CPR (AC FOLICO) (TEUTO)
PRODUTO DE LIMPEZA,VANISH BARRA 12X75G CX
FERRAGEM,CADEADO 20MM-LAT
BISCOITO,BISC.PELAGGIO WAFER ABACAXI PCT 1 X 1 120G
CORPO,BANHO LUA BELLADONNA 1 ARGAN KI
